x,y,h
405476.6,5015420.94,14.06433
405474.78,5015425.68,14.11676
405447.5,5015410.9,17.82987
405442.05,5015410.68,18.56739
405481.51,5015431.51,12.95427
405463.64,5015430.38,16.68102
405472.6,5015436.17,12.56336
405499.18,5015454.95,21.1184
405479.08,5015444.61,12.45102
405458.94,5015433.46,18.26396
405447.51,5015430.54,18.20801
405449.41,5015493.58,24.42371
405471.05,5015494.74,22.49008
405454.99,5015485.05,19.84126
405416.29,5015461.17,13.04354
405422.1,5015461.7,15.19186
405496.13,5015476.27,17.21522
405467.2,5015461.18,14.73677
405491.75,5015482.26,16.40308
405453.18,5015461.93,18.25584
405497.47,5015487.64,18.81695
405499.54,5015492.37,22.76585
405444.87,5015459.74,17.51284
405434.94,5015459.66,18.03503
405443.26,5015467.86,18.2836
405448.34,5015475.64,13.5752
405463.14,5015485.08,23.5666
405435.74,5015468.5,16.1352
405043.3,5015000.34,11.02077
405001.57,5015000.35,15.99539
405053.98,5015000.78,8.401955
405003.16,5015068.31,5.828036
405000.49,5015063.77,7.102778
405009,5015067.67,7.396641
405001.01,5015056.91,5.163373
405019.34,5015065.76,7.112919
405008.44,5015057.5,3.076483
405024.72,5015068.13,3.851093
405016.41,5015060.03,2.758288
405006.57,5015052.18,11.54747
405038.64,5015068.82,15.02224
405021.91,5015059.75,0.793233
405018.91,5015050.43,26.31584
405102.76,5015006.11,0.6452063
405106.23,5015015.65,0.5778729
405098.95,5015011.41,0.5414441
405104.27,5015022.14,0.3557996
405098.63,5015028.76,1.156054
405068.83,5015022.42,6.22322
405059.1,5015012.74,8.737103
405109.21,5015049.83,2.183414
405062.9,5015019.51,7.192243
405044.83,5015007.21,10.28998
405071.97,5015026.58,5.722622
405104.76,5015053.3,2.175676
405086.67,5015040.37,1.166371
405075.14,5015036.41,3.876898
405103.36,5015059.25,3.500504
405088.61,5015048.4,0.867915
405106.94,5015064.54,3.252008
405076.32,5015044.69,6.209004
405063.56,5015045.8,11.9534
405074.42,5015053.5,3.329571
405068.51,5015068.54,2.651572
405058.86,5015060.63,25.28206
405081.77,5015069.35,0.5255884
405002.49,5015089.62,7.487886
405009.85,5015091.7,9.115192
405000.83,5015083.95,8.983877
405011.01,5015080.35,5.307356
405006.34,5015075.01,10.29366
405040.21,5015080.36,4.428704
405028.8,5015075.78,6.80654
405045.08,5015093.85,3.006957
405019.44,5015075.2,6.692442
405023.71,5015078.55,5.903605
